-18.9999,-18.9998,-18.9991
-16.7319,-19,-18.9987
-13.3928,-18.9998,-18.999
-11.6795,-16.1398,-18.9992
-7.44363,-17.4789,-18.9996
-5.80544,-17.5621,-18.9999
-1.91047,-17.9403,-18.9992
-0.713052,-18.9993,-18.9985
-0.300025,-17.2646,-18.9999
4.38526,-18.9999,-18.9988
8.73545,-17.5085,-18.9987
10.4614,-17.6298,-18.9998
13.2554,-17.911,-18.9987
14.445,-19,-18.9992
17.5419,-17.3334,-19
-18.9994,-15.5519,-18.9988
-15.9034,-14.7994,-18.9997
-13.3825,-16.1929,-18.9988
-9.13738,-17.5236,-18.9998
-9.14563,-14.524,-18.9989
-5.09378,-14.6847,-18.9982
-3.47635,-13.887,-18.9989
-0.65494,-13.6576,-18.9989
2.33664,-15.1726,-18.9984
5.0818,-14.8528,-18.9992
7.14552,-14.3205,-18.9991
8.86365,-14.3677,-18.9998
11.9287,-16.9653,-18.9999
14.876,-13.7899,-18.9991
17.6486,-15.4867,-18.9979
-19,-12.2273,-18.9993
-15.0217,-13.3518,-18.9992
-12.6407,-11.8151,-18.9987
-11.6869,-13.2219,-18.9994
-9.19566,-11.3495,-18.9985
-6.31416,-13.4658,-18.9991
-3.57833,-11.8269,-18.9999
-0.742672,-10.248,-18.9994
0.701647,-12.726,-18.9984
4.09585,-12.6384,-18.9998
5.73657,-13.3663,-19
8.62734,-12.6757,-18.998
11.6746,-11.9777,-18.9983
13.3766,-12.9949,-18.9995
16.2215,-11.2035,-18.999
18.9996,-11.1406,-18.9986
-17.6198,-9.63817,-18.9987
-16.1847,-8.79505,-18.998
-13.1286,-10.2664,-18.9993
-11.5388,-10.1747,-18.9997
-8.52334,-9.03802,-18.9976
-6.0914,-9.89121,-18.9985
-3.77913,-8.04974,-18.999
-0.838538,-8.60778,-18.9996
2.11118,-8.52932,-19
5.18086,-10.0256,-18.9979
6.47495,-8.87036,-18.9999
10.0409,-11.414,-18.9985
12.1447,-8.62135,-18.9985
13.4812,-7.7041,-18.9988
17.5827,-8.57891,-18.9994
18.9995,-9.41895,-18.9972
-18.9996,-5.36015,-18.9987
-17.5897,-7.94066,-18.9996
-13.6216,-5.38079,-18.999
-12.0478,-5.46251,-18.9997
-9.74663,-7.90578,-18.9992
-6.97312,-8.53441,-18.9974
-4.60217,-6.57283,-19
-0.834984,-6.88109,-19
0.620633,-7.728,-18.9976
3.64854,-5.99387,-18.9991
5.98212,-7.16325,-18.9992
9.06365,-8.0517,-18.9993
11.8352,-5.31711,-18.9999
14.8375,-6.81775,-18.9999
17.6112,-5.13164,-18.9994
-17.5705,-4.52323,-18.9982
-14.8845,-4.40417,-18.9999
-13.3716,-3.64195,-18.9996
-8.91272,-4.59517,-18.9993
